idArticle;refERP;description;length;width;heigth;weigth;category;unityOfMeasure;rateOfConversion;grossPrice;buyPrice
495;094920114;wedi Tools, tassello in metallo zincato 140 mm;100;0;0;0;A;box;1;71.59;24.11
496;094922114;wedi Tools, tassello in metallo zincato 140 mm;10;0;0;0;A;bag;1;8.05;2.76
497;094920122;wedi Tools, tassello in metallo zincato 200 mm;100;0;0;0;A;box;1;92.07;31
498;094940108;wedi Tools, tassello in acciaio inoV2A 80 mm;100;0;0;0;A;box;1;123.48;41.61
499;094941108;wedi Tools, tassello in acciaio inoV2A 80 mm;10;0;0;0;A;bag;1;15.99;5.38
500;094940111;wedi Tools, tassello in acciaio inoV2A 110 mm;100;0;0;0;A;box;1;130.99;44.11
501;094941111;wedi Tools, tassello in acciaio inoV2A 110 mm;10;0;0;0;A;bag;1;17.09;5.75
502;094940114;wedi Tools, tassello in acciaio inoV2A 140 mm;100;0;0;0;A;box;1;147.18;49.57
503;094941114;wedi Tools, tassello in acciaio inoV2A 140 mm;10;0;0;0;A;bag;1;18.19;6.12
504;206553004;wedi tools, set di  10 tasselli e 10 viti. tasselli da 35 mm e viti da 60 mm;0;0;0;0;A;pc;1;4.39;1.48
505;206553001;wedi tools, set di fissaggio, 400x50mm 2 pezzi + 100x100mm 12 pezzi;0;0;0;0;A;pc;1;43.92;14.52
506;076449017;Set di montaggio per pareti wedi TOP ;0;0;0;0;A;pc;1;19.17;7.4
507;095300191;wedi Tools, elemento a 90°;0;0;0;0;A;pc;1;6.78;2.15
508;095303191;wedi Tools, elemento a 90°;5;0;0;0;A;bag;1;32.92;11.72
509;095300192;wedi Tools, elemento a parete;0;0;0;0;A;pc;1;4.11;1.31
510;095303192;wedi Tools, elemento a parete;5;0;0;0;A;bag;1;20.46;7.27
511;095300193;wedi Tools, elemento a 180°;0;0;0;0;A;pc;1;6.78;2.15
512;095303193;wedi Tools, elemento a 180°;5;0;0;0;A;bag;1;32.92;11.72
513;011220000;wedi Nonstep Plan;1196;590;6;0;A;pc;1;35.22;9.39
514;011200000;wedi Nonstep Plus;1200;600;12;0;A;pc;1;54.76;14.89
515;084600100;Strato di protezione wedi;25;1;0;0;A;m;1;4.72;1.51
516;073716199A;Riolito neo, griglia lineare, rettangolare (griglia da 700 mm);900;800;50;0;T;pc;1;616.04;225.09
517;075100036;Riolito neo, griglia lineare, rettangolare (griglia da 1100 mm);1000;1500;50;0;T;pc;1;913.32;272.55
518;073716599A;Riolito neo, griglia lineare, rettangolare (griglia da 900 mm);1200;1160;50;0;T;pc;1;890.03;343.46
519;011255007;Nonstep ProS;900;900;9;0;A;pc;1;50.67;17.73
520;011255008;Nonstep ProS;1200;600;9;0;A;pc;1;45.04;15.76
521;072010700;Wedi Fundto Top Primo Sahara beige - scarico centrale;900;900;0;0;TR;pc;1;299;1
522;072010701;Wedi Fundto Top Primo Sahara beige - scarico centrale;1200;900;0;0;TR;pc;1;319;1
523;072010702;Wedi Fundto Top Primo Sahara beige - scarico decentrato;900;900;0;0;TR;pc;1;319;1
524;072010703;Wedi Fundto Top Primo Sahara beige - scarico centrale;1200;1200;0;0;TR;pc;1;359;1
525;072010705;Wedi Fundto Top Primo Sahara beige - scarico decentrato;1800;900;0;0;TR;pc;1;429;1
526;072010706;Wedi Fundto Top Primo Sahara beige - scarico decentrato;1400;900;0;0;TR;pc;1;399;1
527;072010707;Wedi Fundto Top Primo Sahara beige - scarico decentrato;1600;900;0;0;TR;pc;1;419;1
528;072010800;Wedi Fundto Top Primo Grigio Cemento - scarico centrale;900;900;0;0;TR;pc;1;299;1
529;072010801;Wedi Fundto Top Primo Grigio Cemento - scarico centrale;1200;900;0;0;TR;pc;1;319;1
530;072010802;Wedi Fundto Top Primo Grigio Cemento - scarico decentrato;900;900;0;0;TR;pc;1;319;1
531;072010803;Wedi Fundto Top Primo Grigio Cemento - scarico centrale;1200;1200;0;0;TR;pc;1;359;1
532;072010805;Wedi Fundto Top Primo Grigio Cemento - scarico decentrato;1800;900;0;0;TR;pc;1;429;1
533;072010806;Wedi Fundto Top Primo Grigio Cemento - scarico decentrato;1400;900;0;0;TR;pc;1;399;1
534;072010807;Wedi Fundto Top Primo Grigio Cemento - scarico decentrato;1600;900;0;0;TR;pc;1;419;1
535;072020700;wedi Fundo Top Riolito neo Sahara beige;1200;900;0;0;TR;pc;1;319;1
536;072020701;wedi Fundo Top Riolito neo Sahara beige;1600;1000;0;0;TR;pc;1;419;1
537;072020702;wedi Fundo Top Riolito neo Sahara beige;1800;900;0;0;TR;pc;1;429;1
538;072020800;wedi Fundo Top Riolito neo Grigio Cemento;1200;900;0;0;TR;pc;1;319;1
539;072020801;wedi Fundo Top Riolito neo Grigio Cemento;1600;1000;0;0;TR;pc;1;419;1
540;072020802;wedi Fundo Top Riolito neo Grigio Cemento;1800;900;0;0;TR;pc;1;429;1
541;072030100;wedi Fundo Top Plano Bianco - scarico centrale;900;900;0;0;TR;pc;1;299;1
542;072030101;wedi Fundo Top Plano Bianco - scarico centrale;1200;900;0;0;TR;pc;1;319;1
543;072030102;wedi Fundo Top Plano Bianco - scarico decentrato;1600;1000;0;0;TR;pc;1;419;1
544;072030600;wedi Fundo Top Plano Nero Antracite - scarico centrale;900;900;0;0;TR;pc;1;299;1
545;072030601;wedi Fundo Top Plano Nero Antracite - scarico centrale;1200;900;0;0;TR;pc;1;319;1
546;072030602;wedi Fundo Top Plano Nero Antracite - scarico decentrato;1600;1000;0;0;TR;pc;1;419;1
547;072030700;wedi Fundo Top Plano Sahara beige - scarico centrale;900;900;0;0;TR;pc;1;299;1
548;072030701;wedi Fundo Top Plano Sahara beige - scarico centrale;1200;900;0;0;TR;pc;1;319;1
549;072030702;wedi Fundo Top Plano Sahara beige - scarico decentrato;1600;1000;0;0;TR;pc;1;419;1
550;072030800;wedi Fundo Top Plano Grigio Cemento - scarico centrale;900;900;0;0;TR;pc;1;299;1
551;072030801;wedi Fundo Top Plano Grigio Cemento - scarico centrale;1200;900;0;0;TR;pc;1;319;1
552;072030802;wedi Fundo Top Plano Grigio Cemento - scarico decentrato;1600;1000;0;0;TR;pc;1;419;1
553;072030900;wedi Fundo Top Plano Effetto Pietra naturale - scarico centrale;900;900;0;0;TR;pc;1;299;1
554;072030901;wedi Fundo Top Plano Effetto Pietra naturale - scarico centrale;1200;900;0;0;TR;pc;1;319;1
555;072030902;wedi Fundo Top Plano Effetto Pietra naturale - scarico decentrato;1600;1000;0;0;TR;pc;1;419;1
556;072040700;FU Top zoccolino sahara beige;1880;200;6;0;TR;pc;1;129;1
557;072040800;FU Top zoccolino grigio cemento;1880;200;6;0;TR;pc;1;129;1
558;072042020;wedi Top Wall  Grigio Cemento;2500;900;0;0;TR;pc;1;469;1
559;072042021;wedi Top Wall  Grigio Cemento;2500;1200;0;0;TR;pc;1;569;1
560;072042040;wedi Top Wall  Sahara beige;2500;900;0;0;TR;pc;1;469;1
561;072042041;wedi Top Wall  Sahara beige;2500;1200;0;0;TR;pc;1;569;1
562;074315800;wedi Sanwell Top Nicchia Bianco;200;400;100;0;TR;pc;1;299;1
563;074315801;wedi Sanwell Top Nicchia Bianco;300;600;100;0;TR;pc;1;349;1
564;074315805;wedi Sanwell Top Effetto Pietra naturale;200;400;100;0;TR;pc;1;299;1
565;074315806;wedi Sanwell Top Effetto Pietra naturale;300;600;100;0;TR;pc;1;349;1
566;074315810;wedi Sanwell Top Nero Antracite;200;400;100;0;TR;pc;1;299;1
567;074315811;wedi Sanwell Top Nero Antracite;300;600;100;0;TR;pc;1;349;1
568;074315815;wedi Sanwell Top Sahara beige;200;400;100;0;TR;pc;1;299;1
569;074315816;wedi Sanwell Top Sahara beige;300;600;100;0;TR;pc;1;349;1
570;074315820;wedi Sanwell Top Grigio cemento;200;400;100;0;TR;pc;1;299;1
571;074315821;wedi Sanwell Top Grigio cemento;300;600;100;0;TR;pc;1;349;1
572;076447502;wedi Top Panca Sanoasa 3 Bianco;1200;0;0;0;TR;pc;1;449;1
573;076447512;wedi Top Panca Sanoasa 3 Effetto Pietra naturale;1200;0;0;0;TR;pc;1;449;1
574;076447522;wedi Top Panca Sanoasa 3 Nero Antracite;1200;0;0;0;TR;pc;1;449;1
575;076447532;wedi Top Panca Sanoasa 3 Sahara beige;1200;0;0;0;TR;pc;1;449;1
576;076447542;wedi Top Panca Sanoasa 3 Grigio cemento;1200;0;0;0;TR;pc;1;449;1
577;095110371;wedi Tools Wall Kit sigillatura pareti;0;0;0;0;A;pc;1;128.89;1
578;075100200;wedi Fundo Rio Ligno (canalina da 700);900;900;0;0;T;pc;1;399;1
579;075100201;wedi Fundo Rio Ligno (canalina da 700);1200;900;0;0;T;pc;1;499;1
580;075100202;wedi Fundo Rio Ligno (canalina da 900);1200;1200;0;0;T;pc;1;549;1
581;075100203;wedi Fundo Rio Ligno (canalina da 800);1600;1000;0;0;T;pc;1;629;1
582;073964250;wedi I-Board Top Bianco;1245;1200;0;0;TR;pc;1;349;1
583;073964251;wedi I-Board Top Effetto Pietra naturale;1245;1200;0;0;TR;pc;1;349;1
584;073964252;wedi I-Board Top Nero Antracite;1245;1200;0;0;TR;pc;1;349;1
585;073964253;wedi I-Board Top Sahara beige;1245;1200;0;0;TR;pc;1;349;1
586;073964254;wedi I-Board Top Grigio cemento;1245;1200;0;0;TR;pc;1;349;1
587;073964222;wedi I-Board Plus;1245;1200;20;0;TR;pc;1;85.56;1
588;072000700;Fundo Top set copertura canaletta piastrellabile Sahara beige;800;0;0;0;TR;pc;1;179;1
589;072000800;Fundo Top set copertura canaletta piastrellabile Grigio cemento;800;0;0;0;TR;pc;1;179;1
590;073732091;wedi Fundo elemento sottostruttura per canalette;240;240;82;0;TA;pc;1;51.11;1
